name;Q4_2017;Q3_2017;Q2_2017;Q1_2017;Q4_2016;Q3_2016;Q2_2016;Q1_2016;Q4_2015;Q3_2015;Q2_2015;Q1_2015;Q4_2014;Q3_2014;Q2_2014;Q1_2014;Q4_2013;Q3_2013;Q2_2013;Q1_2013;Q4_2012;Q3_2012;Q2_2012;Q1_2012;Q4_2011;Q3_2011;Q2_2011;Q1_2011;Q4_2010;Q3_2010;Q2_2010;Q1_2010;2017;2016;2015;2014;2013;2012;2011;2010
 Yabancı Para Çevrim Farkları;null;10010000;10010000;10010000;10010000;10010000;10010000;10010000;10010000;12643000;8755000;9754000;9566000;4899000;4160000;3736000;3366000;2363000;2821000;-1016000;1877000;1816000;1338000;244000;1383000;4013000;1199000;-766000;-1894000;-2835000;-3782000;-1264000;null;10010000;10010000;9566000;3366000;1877000;1383000;-1894000
 Kardan Ayrılan Kısıtlanmış Yedekler;null;168095000;168095000;277913000;277913000;337248000;337248000;312763000;312763000;312763000;312763000;308538000;308538000;308538000;308538000;299764000;299764000;299764000;299764000;258084000;258084000;258084000;258084000;248754000;248754000;248754000;248754000;245415000;245415000;245415000;245415000;25571000;null;277913000;312763000;308538000;299764000;258084000;248754000;245415000
 Geçmiş Yıllar Kar/Zararları;null;36481000;30378000;263190000;78387000;156104000;156104000;399872000;239470000;239470000;230973000;279055000;322348000;322348000;322348000;383750000;322336000;322472000;322472000;416950000;384423000;384261000;384261000;448412000;359902000;359778000;359778000;401702000;341322000;341322000;341322000;599541000;null;78387000;239470000;322348000;322336000;384423000;359902000;341322000
 Dönem Net Kar/Zararı;null;165433000;121566000;36007000;184803000;138264000;111689000;35729000;67647000;112321000;50599000;32318000;-43293000;-16681000;-4444000;9674000;61414000;49818000;19030000;271000;34414000;-5321000;-13950000;-9016000;88510000;99909000;53345000;21547000;60380000;40011000;40557000;19752000;null;184803000;67647000;-43293000;61414000;34414000;88510000;60380000
 Diğer Özsermaye Kalemleri;null;2018240000;2018668000;2018755000;2014382000;1558310000;1558450000;1558219000;1558034000;1598645000;1598724000;1598469000;1598474000;1646516000;1646403000;1646145000;1646193000;1632200000;1632079000;0;1632726000;0;0;0;0;0;0;0;0;0;0;0;null;2014382000;1558034000;1598474000;1646193000;1632726000;0;0
 Azınlık Payları;null;72000;-2478000;-7966000;-6265000;12928000;11454000;8638000;3928000;10082000;14911000;16324000;17204000;33438000;41129000;38177000;38896000;43979000;44151000;46800000;45903000;18158000;13570000;16383000;0;15169000;14063000;18962000;18781000;18269000;17522000;18874000;null;-6265000;3928000;17204000;38896000;45903000;0;18781000
TOPLAM KAYNAKLAR;null;3376607000;3988918000;4078392000;3992703000;3488082000;3439484000;3544974000;3369830000;3412852000;3329200000;3314853000;3263485000;3340081000;3354475000;3418754000;3437219000;3419731000;3407732000;3433260000;3360701000;3064982000;3057315000;3056187000;3031767000;2855466000;2774183000;2719855000;2662224000;2465704000;2479171000;2496917000;null;3992703000;3369830000;3263485000;3437219000;3360701000;3031767000;2662224000
Sürdürülen Faaliyetler;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Satış Gelirleri;null;139124000;135848000;155132000;1055357000;106274000;117021000;133993000;298255000;282619000;286479000;303210000;262699000;267810000;259330000;256942000;234147000;307260000;331462000;253140000;219938000;220048000;235408000;211940000;242118000;233325000;258285000;239824000;207720000;233207000;257769000;214516000;null;1412645000;1170563000;1046781000;1126009000;887334000;973552000;913212000
Satışların Maliyeti (-);null;-80562000;-83608000;-95192000;-836840000;-69884000;-74899000;-74567000;-236361000;-213930000;-223726000;-233671000;-208794000;-234560000;-210010000;-203156000;-185272000;-255325000;-276632000;-202646000;-182317000;-172943000;-194218000;-174537000;-186754000;-169604000;-184551000;-171224000;-140587000;-171834000;-180969000;-153328000;null;-1056190000;-907688000;-856520000;-919875000;-724015000;-712133000;-646718000
